name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Rey Bancayrin,Male,Radio DXLL,"March 30, 1998",Philippines,Murder,Killed,Journalist,All other countries,1998,Staff
Rey Merisco,Male,Periodico Ini,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Reynaldo Momay,Male,Midland Review,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Riad al-Saray,Male,Al-Iraqiya,"September 7, 2010",Iraq,Murder,Killed,Journalist,Middle East,2010,Staff
Ricardo Alcides Ávila,Male,Metro TV,"May 29, 2022",Honduras,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Ricardo de Mello,Male,Imparcial Fax,"January 18, 1995",Angola,Murder,Killed,Journalist,All other countries,1995,Staff
Ricardo Domínguez López,Male,InfoGuaymas,"July 22, 2021",Mexico,Murder,Killed,Journalist,All other countries,2021,Staff
Ricardo Gangeme,Male,El Informador Chubutense,"May 13, 1999",Argentina,Murder,Killed,Journalist,All other countries,1999,Staff
Ricardo Ortega,Male,Antena 3,"March 7, 2004",Haiti,Dangerous Assignment,Killed,Journalist,All other countries,2004,Staff
Richard Wild,Male,Freelancer,"July 5, 2003",Iraq,Murder,Killed,Journalist,Middle East,2003,Freelancer
Rico Ramirez,Male,DXSF Radio,"August 20, 2003",Philippines,Murder,Killed,Journalist,All other countries,2003,Staff
Ridwan Salamun,Male,Sun TV,"August 21, 2010",Indonesia,Murder,Killed,Journalist,All other countries,2010,Staff
Riyad Muhammad Ali,Male,Talafar al-Yawm,"July 30, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Rob Hiaasen,Male,Capital Gazette,"June 28, 2018",USA,Murder,Killed,Journalist,All other countries,2018,Staff
Robenson Laraque,Male,Tele Contact,"April 4, 2005",Haiti,Dangerous Assignment,Killed,Journalist,All other countries,2005,Staff
Robert Stevens,Male,The Sun,"October 5, 2001",USA,Murder,Killed,Journalist,All other countries,2001,Staff
Roberto Fraile,Male,93 Metros,"April 26 - 27, 2021",Burkina Faso,Murder,Killed,Journalist,All other countries,2021,Staff
Roberto Marcos García,Male,Testimonio and Alarma,"November 21, 2006",Mexico,Murder,Killed,Journalist,All other countries,2006,Staff
Roberto Martínez,Male,Prensa Libre,"April 27, 2000",Guatemala,Dangerous Assignment,Killed,Journalist,All other countries,2000,Staff
Roberto Toledo Barrera,Male,Monitor Michoacán,"January 31, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Robson Giorno,Male,Jornal O Maricá,"May 25, 2019",Brazil,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Roddy Scott,Male,Frontline,"September 26, 2002",Russia,Crossfire,Killed,Journalist,All other countries,2002,Staff
Rodolfo Julio Torres,Male,Emisora Fuentes,"October 21, 1999",Colombia,Murder,Killed,Journalist,All other countries,1999,Staff
Rodolfo Rincón Taracena,Male,Tabasco Hoy,"January 20, 2007",Mexico,Murder,Killed,Journalist,All other countries,2007,Staff
Rodrigo Neto,Male,Rádio Vanguarda and Vale do Aço,"March 8, 2013",Brazil,Murder,Killed,Journalist,All other countries,2013,Staff
"Rogelio ""Roger"" Mariano",Male,Radyo Natin-Aksyon Radyo,"July 31, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004,Staff
Rogelio Barragán Pérez,Male,Guerrero Al Instante,"July 30, 2019",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Rohat Aktaş,Male,Azadiya Welat,"January 30 to February 24, 2016",Turkey,Motive Unconfirmed,Killed,Journalist,Middle East,2016,Staff
Rohit Biswal,Male,Dharitri,"February 5, 2022",India,Dangerous Assignment,Killed,Journalist,All other countries,2022,Staff
Roland Ureta,Male,Radio DYKR,"January 3, 2001",Philippines,Murder,Killed,Journalist,All other countries,2001,Staff
"Rolando ""Dodong"" Morales",Male,DXMD,"July 3, 2005",Philippines,Murder,Killed,Journalist,All other countries,2005,Staff
Romário Barros,Male,Lei Seca Maricá,"June 18, 2019",Brazil,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Romeo (or Romy) Binungcal,Male,Remate and Bulgar,"September 29, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004,Staff
Romeo Jimmy Cabillo,Male,Midland Review,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Romeo Lagaspi,Male,Voice of Zambales,"January 11, 1993",Philippines,Murder,Killed,Journalist,All other countries,1993,Staff
Romeo Olea,Male,DWEB,"June 13, 2011",Philippines,Murder,Killed,Journalist,All other countries,2011,Staff
Ronnie Perante,Male,Gold Star Daily,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Ronnie Villamor,Male,Dos Kantos Balita,"November 14, 2020",Philippines,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
Roohollah Zam,Male,Amad News,"December 12, 2020",Iran,Murder,Killed,Journalist,Middle East,2020,Staff
Rory Peck,Male,ARD Television Company,"October 3, 1993",Russia,Dangerous Assignment,Killed,Journalist,All other countries,1993,Staff
Rosell Morales,Male,News Focus,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Roshdi Sarraj,Male,Ain Media,"October 22, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Rowell Endrinal,Male,DZRC,"February 11, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004,Staff
Rubello Bataluna,Male,Gold Star Daily,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Rubén Espinosa Becerril,Male,"Proceso, AVC Noticias, Cuartoscuro","July 31, 2015",Mexico,Murder,Killed,Journalist,All other countries,2015,Staff
Rubén Pat Cauich,Male,Semanario Playa News,"July 24, 2018",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Rupert Hamer,Male,Sunday Mirror,"January 10, 2010",Afghanistan,Crossfire,Killed,Journalist,All other countries,2010,Staff
Ruperto Armenta Gerardo,Male,El Regional,"February 5, 1995",Mexico,Murder,Killed,Journalist,All other countries,1995,Staff
S. Gangadhara Raju,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment,Killed,Journalist,All other countries,1997,Staff
S. Krishna,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment,Killed,Journalist,All other countries,1997,Staff
Saad Ahmed,Male,Hawar News Agency (ANHA),"October 13, 2019",Syria,Crossfire,Killed,Journalist,Middle East,2019,Staff
Saad Bakhtaoui,Male,El-Minbar,"September 10, 1993",Algeria,Murder,Killed,Journalist,All other countries,1993,Staff
Sabah al-Bazi,Male,Al-Arabiya,"March 29, 2011",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2011,Staff
Sabawoon Kakar,Male,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018,Staff
Saber al-Janani,Male,NHK,"June 15, 2022",Yemen,Motive Unconfirmed,Killed,Journalist,Middle East,2022,Staff
Sadrul Alam Nipul,Male,Dainik Mathabhanga,"May 21, 2014",Bangladesh,Murder,Killed,Journalist,All other countries,2014,Staff
Saed Mahdi Shlash,Male,Rayat al-Arab,"October 26, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Saeed al-Taweel,Male,Al-Khamsa News,"October 9, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Safa al-Din Abdel Hamid,Male,Al-Mosuliya,"September 8, 2010",Iraq,Murder,Killed,Journalist,Middle East,2010,Staff
Safa Isma'il Enad,Male,Freelancer,"September 13, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Freelancer
Safaa Ghali,Male,Dijlah TV,"January 10, 2020",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2020,Staff
Safir Nader,Male,Qulan TV,"February 1, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Sai Reddy,Male,Deshbandhu,"December 6, 2013",India,Murder,Killed,Journalist,All other countries,2013,Staff
Sai Win Aung (A Sai K),Male,Federal News Journal,"December 25, 2021",Myanmar,Crossfire,Killed,Journalist,All other countries,2021,Staff
Saïd Brahimi,Male,Algerian State Television,"September 9, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Said Mekbel,Male,Le Matin,"December 4, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Staff
Said Tahlil Ahmed,Male,HornAfrik,"February 2, 2009",Somalia,Murder,Killed,Journalist,All other countries,2009,Staff
Saïd Tazrout,Male,Le Matin,"September 3, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Saidan Shafi,Male,Doordarshan TV,"March 16, 1997",India,Murder,Killed,Journalist,All other countries,1997,Staff
Saidmurod Yerov,Male,Farkhang,January 1993,Tajikistan,Murder,Killed,Journalist,All other countries,1993,Staff
Saif Laith Yousuf,Male,ABC News,"May 17, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Saif Talal,Male,Al-Sharqiya,"January 12, 2016",Iraq,Murder,Killed,Journalist,Middle East,2016,Staff
Saif ur Rehman,Male,Samaa TV,"January 10, 2013",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2013,Staff
Saiful Alam Mukul,Male,Daily Runner,"August 30, 1998",Bangladesh,Murder,Killed,Journalist,All other countries,1998,Staff
Sajid Tanoli,Male,Shumal,"January 29, 2004",Pakistan,Murder,Killed,Journalist,All other countries,2004,Staff
Salah al-Din Hassan,Male,Shaab Masr,"June 29, 2013",Egypt,Dangerous Assignment,Killed,Journalist,Middle East,2013,Staff
Saleem Shahzad,Male,Asia Times Online,"May 29 or 30, 2011",Pakistan,Murder,Killed,Journalist,All other countries,2011,Staff
Saleem Talash,Male,Mashal TV,"April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018,Staff
Saleh Ayyad Hafyana,Male,Fassato News Agency,"November 18, 2013",Libya,Dangerous Assignment,Killed,Journalist,All other countries,2013,Staff
Saleh Ibrahim,Male,Associated Press Television News,"April 23, 2005",Iraq,Crossfire,Killed,Journalist,Middle East,2005,Staff
Salem Khalil,Male,Orient News,"December 8, 2014",Syria,Crossfire,Killed,Journalist,Middle East,2014,Staff
Salih Saif Aldin,Male,The Washington Post,"October 14, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Salko Hondo,Male,Oslobodjenje,"July 1, 1992",Bosnia,Crossfire,Killed,Journalist,All other countries,1992,Staff
Salvador Adame Pardo,Male,6TV,"May 18-June 14, 2017",Mexico,Murder,Killed,Journalist,All other countries,2017,Staff
Salvador Medina Velázquez,Male,FM Ñemity,"January 5, 2001",Paraguay,Murder,Killed,Journalist,All other countries,2001,Staff
Sam Nimfa-Jan,Male,Details,"May 27, 1999",Nigeria,Dangerous Assignment,Killed,Journalist,All other countries,1999,Staff
Saman Abdullah Izzedine,Male,Kirkuk TV,"April 15, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Sameh al-Aryan,Male,Al-Aqsa TV,"July 30, 2014",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2014,Staff
Samer Mohammed Aboud,Male,"Free Deir al-Zour Radio, Development Interaction Network",October 2015 - June 2016,Syria,Murder,Killed,Journalist,Middle East,2016,Staff
Sami Abu Amin,Male,Al-Ikhbariya,"June 27, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Staff
Sami Jawdat Rabah,Male,Syrian Observatory for Human Rights,October 2015 - June 2016,Syria,Murder,Killed,Journalist,Middle East,2016,Staff
Samim Faramarz,Male,TOLO News,"September 5, 2018",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2018,Staff
Samir Qassir,Male,Al-Nahar,"June 2, 2005",Lebanon,Murder,Killed,Journalist,Middle East,2005,Staff
Samson Boyi,Male,The Scope,"November 5, 1999",Nigeria,Crossfire,Killed,Journalist,All other countries,1999,Staff
Samuel Romã,Male,Radio Conquista FM,"April 20, 2004",Brazil,Murder,Killed,Journalist,All other countries,2004,Staff
Samuel Wazizi,Male,Chillen Muzik TV,"August 17, 2019",Cameroon,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Sandeep Sharma,Male,News World,"March 26, 2018",India,Murder,Killed,Journalist,All other countries,2018,Staff
Sander Thoenes,Male,Freelancer,"September 21, 1999",East Timor,Murder,Killed,Journalist,All other countries,1999,Freelancer
Santiago Barroso Alfaro,Male,"Buenos Días San Luis,Red 653","March 15, 2019",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Santiago Ilídio Andrade,Male,Bandeirantes,"February 10, 2014",Brazil,Dangerous Assignment,Killed,Journalist,All other countries,2014,Staff
Santos Gatchalian,Male,DXGO,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Saoman Conteh,Male,New Tablet,"May 8, 2000",Sierra Leone,Dangerous Assignment,Killed,Journalist,All other countries,2000,Staff
Saqib Khan,Male,Ummat,"November 22, 2012",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2012,Staff
Sardasht Osman,Male,Freelancer,"May 5, 2010",Iraq,Murder,Killed,Journalist,Middle East,2010,Freelancer
Sari Mansour,Male,Quds News Network,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Sarmad Hamdi Shaker,Male,Baghdad TV,"June 27, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Satoru Someya,Male,Freelancer,"September 6, 2003",Japan,Murder,Killed,Journalist,All other countries,2003,Freelancer
Sattar Beheshti,Male,Freelancer,"November 3, 2012",Iran,Dangerous Assignment,Killed,Journalist,Middle East,2012,Freelancer
Saúl Tijerina Rentería,Male,"La Policiaca,Noticias en la Web,","June 22, 2021",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2021,Staff
Sayed Mehdi Husaini,Male,Jomhor News Agency,"December 28, 2017",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2017,Staff
Sayeed Khuda Dad Ahamdi,Male,Afghan Voice Agency,"December 28, 2017",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2017,Staff
Sayfettin Tepe,Male,Yeni Politika,"August 29, 1995",Turkey,Murder,Killed,Journalist,Middle East,1995,Staff
Sayomchai Vijitwittayapong,Male,Matichon,"January 10, 1998",Thailand,Murder,Killed,Journalist,All other countries,1998,Staff
Selvarajah Rajeewarnam,Male,Uthayan,"April 29, 2007",Sri Lanka,Murder,Killed,Journalist,All other countries,2007,Staff
Semko Karim Mohyideen,Male,Freelancer,"February 1, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Freelancer
Serge Maheshe,Male,Radio Okapi,"June 13, 2007",Democratic Republic of the Congo,Murder,Killed,Journalist,All other countries,2007,Staff
Sergei Krasilnikov,Male,Ostankino Television Company,"October 3, 1993",Russia,Dangerous Assignment,Killed,Journalist,All other countries,1993,Staff
Serhiy Nikolayev,Male,Segodnya,"February 28, 2015",Ukraine,Crossfire,Killed,Journalist,All other countries,2015,Staff
Shafiq Amiri,Male,Khurshid TV,"May 30, 2020",Afghanistan,Murder,Killed,Journalist,All other countries,2020,Staff
Shafiullah Khan,Male,The News,"June 17, 2011",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2011,Staff
Shah Marai,Male,Agence France-Presse,"April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018,Staff
Shahid Soomro,Male,Kawish,"October 20, 2002",Pakistan,Murder,Killed,Journalist,All other countries,2002,Staff
Shahid Zehri,Male,Metro 1 News,"October 10, 2021",Pakistan,Murder,Killed,Journalist,All other countries,2021,Staff
Shahir al-Muaddamani,Male,Local Council of Deraya City Media Office,"August 16, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Staff
Shamil Gigayev,Male,Nokh Cho TV,"October 29, 1999",Russia,Crossfire,Killed,Journalist,All other countries,1999,Staff
Shamkhan Kagirov,Male,Rossiskaya Gazeta and Vozrozheniye,"December 13, 1995",Russia,Crossfire,Killed,Journalist,All other countries,1995,Staff
Shamsur Rahman,Male,Janakantha,"July 16, 2000",Bangladesh,Murder,Killed,Journalist,All other countries,2000,Staff
Shan Dahar,Male,Abb Takk Television,"January 1, 2014",Pakistan,Murder,Killed,Journalist,All other countries,2014,Staff
Shantanu Bhowmik,Male,Dinraat,"September 20, 2017",India,Dangerous Assignment,Killed,Journalist,All other countries,2017,Staff
Shao Yunhuan,Male,Xinhua News Agency,"May 8, 1999",Yugoslavia,Crossfire,Killed,Journalist,All other countries,1999,Staff
Shashikant Warishe,Male,Mahanagari Times,"February 7, 2023",India,Murder,Killed,Journalist,All other countries,2023,Staff
Shehab Mohammad al-Hiti,Male,Baghdad al-Youm,"October 28, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Shehzad Ahmed,Male,Aaj News,"August 8, 2016",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2016,Staff
Sheikh Belaluddin,Male,Sangram,"February 11, 2005",Bangladesh,Murder,Killed,Journalist,All other countries,2005,Staff
Sheikh Nur Mohamed Abkey,Male,Radio Mogadishu,"May 4, 2010",Somalia,Murder,Killed,Journalist,All other countries,2010,Staff
Shihab al-Tamimi,Male,Iraqi Journalists Syndicate,"February 27, 2008",Iraq,Murder,Killed,Journalist,Middle East,2008,Staff
Shinsuke Hashida,Male,Freelancer,"May 27, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Freelancer
Shirindzhon Amirdzhonov,Male,Tajikistan Radio,"May 7, 1992",Tajikistan,Dangerous Assignment,Killed,Journalist,All other countries,1992,Staff
Shubham Mani Tripathi,Male,Kampu Mail,"June 19, 2020",India,Murder,Killed,Journalist,All other countries,2020,Staff
Shujaat Bukhari,Male,Rising Kashmir,"June 14, 2018",India,Murder,Killed,Journalist,All other countries,2018,Staff
Shukur Hossain,Male,Anirban,"July 5, 2002",Bangladesh,Murder,Killed,Journalist,All other countries,2002,Staff
Simao Roberto,Male,Journal de Angola,"June 5, 1998",Angola,Murder,Killed,Journalist,All other countries,1998,Staff
Simon Cumbers,Male,BBC,"June 6, 2004",Saudi Arabia,Murder,Killed,Journalist,Middle East,2004,Staff
Simone Camilli,Male,The Associated Press,"August 13, 2014",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2014,Staff
Siraj Abishov,Male,AzTV,"June 4, 2021",Azerbaijan,Crossfire,Killed,Journalist,All other countries,2021,Staff
Siraj Uddin,Male,The Nation,"February 29, 2008",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2008,Staff
Sisay Fida,Male,Oromia Broadcasting Network,"May 9, 2021",Ethiopia,Murder,Killed,Journalist,All other countries,2021,Staff
Slavko Curuvija,Male,"Dnevni Telegraf, Evropljanin","April 11, 1999",Yugoslavia,Murder,Killed,Journalist,All other countries,1999,Staff
Smail Sbaghdi,Male,Algerian Press Service,"September 25, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Staff
Smail Yefsah,Male,Algerian State Television,"October 18, 1993",Algeria,Murder,Killed,Journalist,All other countries,1993,Staff
So'oud Muzahim al-Shoumari,Male,Al-Baghdadia,"April 4, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
